Date ID,Date (YYYY/MM/DD),Hour (24:00),Brisbane Wind Direction (degN),Gladstone Wind Direction (degN),Brisbane Wind Speed Km/h,Gladstone Wind Speed Km/h,Brisbane Wind Std Deviation Km/h,Gladstone Wind Std Deviation Km/h
4951,2022-07-26,06:00:00,212,252,2.1600000858306885,5.760000085830689,1.0800000429153442,0.7200000107288361
4952,2022-07-26,07:00:00,203,248,2.1600000858306885,6.8399999141693115,1.0800000429153442,1.0800000429153442
4953,2022-07-26,08:00:00,206,250,1.4400000214576723,5.039999914169312,1.0800000429153442,1.0800000429153442
4954,2022-07-26,09:00:00,184,247,0.7200000107288361,6.120000171661377,1.0800000429153442,1.4400000214576723
4955,2022-07-26,10:00:00,204,267,3.2399999141693114,6.479999828338623,1.4400000214576723,2.1600000858306885
4956,2022-07-26,11:00:00,174,311,1.8,2.8800000429153445,1.4400000214576723,1.8
4957,2022-07-26,12:00:00,29,314,0.7200000107288361,2.519999957084656,1.4400000214576723,1.4400000214576723
4958,2022-07-26,13:00:00,58,25,3.2399999141693114,2.8800000429153445,1.8,1.8
4959,2022-07-26,14:00:00,60,38,2.519999957084656,3.2399999141693114,1.8,1.8
4960,2022-07-26,15:00:00,27,13,2.519999957084656,2.8800000429153445,1.8,1.4400000214576723
4961,2022-07-26,16:00:00,17,358,1.8,5.039999914169312,1.4400000214576723,1.4400000214576723
4962,2022-07-26,17:00:00,8,354,3.6,6.120000171661377,1.0800000429153442,2.1600000858306885
4963,2022-07-26,18:00:00,325,356,0.36000000536441806,5.039999914169312,1.0800000429153442,1.8
4964,2022-07-26,19:00:00,202,298,1.4400000214576723,4.679999828338623,1.8,1.4400000214576723
4965,2022-07-26,20:00:00,208,299,1.8,6.479999828338623,2.1600000858306885,1.8
4966,2022-07-26,21:00:00,197,294,0.36000000536441806,8.640000343322754,1.8,2.1600000858306885
4967,2022-07-26,22:00:00,224,299,1.8,6.120000171661377,2.1600000858306885,1.4400000214576723
4968,2022-07-26,23:00:00,224,290,0.7200000107288361,6.8399999141693115,1.8,1.4400000214576723
4969,2022-07-27,00:00:00,212,247,1.0800000429153442,8.640000343322754,1.8,1.8
4970,2022-07-27,01:00:00,201,244,1.4400000214576723,5.4,1.8,1.4400000214576723
4971,2022-07-27,02:00:00,212,259,0.7200000107288361,6.8399999141693115,1.4400000214576723,1.0800000429153442
4972,2022-07-27,03:00:00,295,246,0.36000000536441806,3.9600000858306887,0.7200000107288361,1.0800000429153442
4973,2022-07-27,04:00:00,300,188,0.36000000536441806,3.9600000858306887,0.7200000107288361,2.1600000858306885
4974,2022-07-27,05:00:00,251,184,0.36000000536441806,6.8399999141693115,1.0800000429153442,3.2399999141693114
4975,2022-07-27,06:00:00,240,191,0.7200000107288361,6.120000171661377,1.0800000429153442,2.8800000429153445
4976,2022-07-27,07:00:00,274,198,0.36000000536441806,5.760000085830689,0.7200000107288361,3.2399999141693114
4977,2022-07-27,08:00:00,294,215,0.7200000107288361,8.279999828338623,1.0800000429153442,3.9600000858306887
4978,2022-07-27,09:00:00,237,203,1.0800000429153442,5.039999914169312,1.8,2.8800000429153445
4979,2022-07-27,10:00:00,238,212,0.7200000107288361,6.8399999141693115,1.8,3.2399999141693114
4980,2022-07-27,11:00:00,281,246,0.36000000536441806,9.359999656677246,1.8,2.8800000429153445
4981,2022-07-27,12:00:00,314,244,0.36000000536441806,7.9200001716613775,1.8,2.8800000429153445
4982,2022-07-27,13:00:00,278,236,0.7200000107288361,9,2.1600000858306885,3.2399999141693114
4983,2022-07-27,14:00:00,276,231,1.0800000429153442,8.279999828338623,2.1600000858306885,3.2399999141693114
4984,2022-07-27,15:00:00,225,210,0.7200000107288361,4.679999828338623,1.8,2.1600000858306885
4985,2022-07-27,16:00:00,225,160,1.0800000429153442,4.679999828338623,1.8,2.1600000858306885
4986,2022-07-27,17:00:00,277,179,0.7200000107288361,3.9600000858306887,1.4400000214576723,2.1600000858306885
